,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"The delay of 49 minutes during the match between Coco Gauff and Karolina Muchova was caused by environmental protesters, including one who glued his feet to the ground.",The U.S. Open semifinal match on Thursday night between Coco Gauff and Karolina Muchova was delayed by 49 minutes early in the second set by four environmental protesters in the upper levels of Arthur Ashe Stadium who were calling for an end to fossil fuels. One protester glued his bare feet to the ground.,2023-09-08T00:50:11+0000,article,Sports,News,Protest Stops U.S. Open Semifinal Match,"Environment;Demonstrations, Protests and Riots;United States Open (Tennis);Tennis;Ashe, Arthur, Stadium;Allaster, Stacey;Gauff, Cori (2004- );Muchova, Karolina (1996- );Stadiums and Arenas"
1,The government declared three days of mourning after the attacks on a passenger ferry and a military camp. At least 49 civilians and 15 soldiers were killed.,"Islamist militants staged separate attacks on a passenger ferry and a military camp in northern Mali on Thursday, the government said, killing dozens of civilians and soldiers in a region of the West African nation that is increasingly controlled by armed groups.",2023-09-08T00:52:54+0000,article,World,News,Islamists Kill Dozens of Civilians and Soldiers in Two Attacks in Mali,Mali;Deaths (Fatalities);Defense and Military Forces;Civilian Casualties;Muslims and Islam;AL QAEDA;Politics and Government;Mercenaries and Private Military Contractors;Wagner Group
2,Rachel Fabi and Ken Stern open our solving weekend with a puzzle that is the polar opposite of 34-Across.,Jump to: Tricky Clues,2023-09-08T02:00:07+0000,article,Crosswords & Games,News,Someone Who May Prefer Platonic Relationships,Crossword Puzzles
3,"After a lengthy delay caused by protesters, Gauff and Sabalenka emerged as winners. Both will play the first U.S. Open final and second major final of their career.","They grow up fast these days, and none faster than Coco Gauff.",2023-09-08T02:01:14+0000,article,Sports,News,Coco Gauff and Aryna Sabalenka Advance to U.S. Open Final,"Tennis;United States Open (Tennis);Gauff, Cori (2004- );Muchova, Karolina (1996- );Keys, Madison;Sabalenka, Aryna"
4,David Balton and Jane Stewart present a puzzle replete with childhood references.,"ACROSTIC — This puzzle is an interesting challenge: It’s from a children’s book and is clued with loads of children’s literature trivia, but it was one of the hardest acrostics in recent memory for me. I was unfamiliar with the topic of the passage, the titular character in the “Mrs. Piggle Wiggle” books, a series by Betty MacDonald that started in 1947. These books are indisputably classics, and there have been modern takes on them, but they’re absent from my particular reading experience. I also could not make heads or tails, fittingly enough, of the surreal description of Mrs. Piggle Wiggle’s inverted domicile.",2023-09-08T02:02:01+0000,article,Crosswords & Games,News,Variety: Acrostic,"Balton, David (Crossword Constructor);Stewart, Jane (Crossword Constructor);Acrostic Puzzles"
5,The barrier was placed by the state to discourage illegal crossings from Mexico.,A U.S. appeals court issued an order on Thursday temporarily ensuring that a barrier of floating buoys in the Rio Grande that was placed by Texas to discourage illegal crossings could stay in place while the court considered a full decision.,2023-09-08T02:10:02+0000,article,U.S.,News,Court Grants Temporary Stay on Texas’ Buoy Barrier in Rio Grande,"Appeals Courts (US);Suits and Litigation (Civil);Illegal Immigration;Justice Department;Abbott, Gregory W (1957- );Texas"
6,The long-sought charges against Lawrence Hecker come after public allegations that leaders in the Archdiocese of New Orleans knew about accusations against him for decades.,A state grand jury in Louisiana has indicted a retired Roman Catholic priest on multiple felony charges related to claims that he sexually assaulted a teenage boy in the 1970s. The long-sought charges come after public allegations that leaders in the Archdiocese of New Orleans knew about accusations against the priest for decades.,2023-09-08T02:33:39+0000,article,U.S.,News,Louisiana Grand Jury Indicts Retired Priest on Sex Abuse Charges,"Hecker, Lawrence;Sex Crimes;Child Abuse and Neglect;Priests;Roman Catholic Church;Louisiana"
7,"Protesters have thrown mashed potatoes at a Monet, interrupted fancy galas and blocked commuter routes in efforts to prompt action on global warming.",The environmental activists who delayed the U.S. Open semifinal Thursday night by staging protests in Arthur Ashe Stadium join a long line of high-profile public disruptions aimed at drawing attention to the existential threat posed by climate change.,2023-09-08T02:41:04+0000,article,Climate,News,Stopping Tennis to Call Attention to Climate Change,"Global Warming;Greenhouse Gas Emissions;Demonstrations, Protests and Riots;Tennis;Art;Museums;United States Open (Tennis);Environment;Extinction Rebellion"
8,"As the protesters chanted, many other attendees booed the disruption.","As the protesters chanted, many other attendees booed the disruption.",2023-09-08T03:21:40+0000,multimedia,Sports,Video,Climate Protest Delays U.S. Open Semifinal,"United States Open (Tennis);Demonstrations, Protests and Riots;Queens (NYC)"
9,Hannah Collins wasn’t James Tate’s first choice when it came to hiring an interior designer for one of his firm’s real estate projects. He happily admits he was wrong.,"In May 2018, James Tanner Tate and his two business partners at the time decided to buy a 98-year-old cafe just north of San Francisco, in Tiburon, Calif. Mr. Tate was at odds with his partners about the design group they would hire to revamp the local waterfront hot spot, called Sam’s Anchor Cafe. They wanted to hire ROY, an interior design studio, but he wanted to hire another group.",2023-09-08T04:00:16+0000,article,Style,News,A Business Relationship That Grew Into Something More,Weddings and Engagements
