,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,"After an ice storm caused power failures across the state, more than 203,000 customers were still without electricity on Sunday. For some, it’s the second blackout in months.","KALAMAZOO, Mich. — When Anna Capling, a labor and delivery nurse in Livonia, Mich., heard from family members on Wednesday that their lights were flickering amid an impending ice storm, she stood up to charge her phone just in case the power went out.",2023-02-26T00:39:48+0000,article,U.S.,News,‘Frustrating and Upsetting’: Residents in Michigan Endure Fifth Day Without Power,Michigan;Power Failures and Blackouts;Snow and Snowstorms;Ice;Cold and Cold Spells;Kalamazoo (Mich)
1,"Corrections that appeared in print on Sunday, Feb. 26, 2023.","An article on Page 38 this weekend about the Delbert Anderson Trio misstates the name of the music industry figure who has been mentoring the band. He is David Greenberg, not Steve.",2023-02-26T05:53:20+0000,article,Corrections,News,"Corrections: Feb. 26, 2023",
2,"Woody Harrelson was the host this week of an episode, which featured Jack White as musical guest.","The “Saturday Night Live” opening sketch has reliably become a showcase for the cast member James Austin Johnson — it’s simply a matter of which political figure or celebrity he’ll impersonate in the segment. This week the wheel was spun and it landed on former President Donald J. Trump, who on Wednesday visited the town of East Palestine, Ohio, the site of a train derailment that has led to a toxic chemical spill.",2023-02-26T07:20:09+0000,article,Arts,News,‘Saturday Night Live’ Mocks Trump’s Trip to Ohio,"Television;Saturday Night Live (TV Program);Harrelson, Woody"
3,The prize is a strong indicator of what will win best picture at the Oscars. The film already won the Directors Guild Award.,"Add another one to the “Everything Everywhere All at Once” trophy shelf (and slap some googly eyes on it, too).",2023-02-26T07:48:22+0000,article,Movies,News,‘Everything Everywhere All at Once’ Takes Producers Guild Award,"Everything Everywhere All at Once (Movie);Producers Guild of America;Awards, Decorations and Honors;Movies;Cruise, Tom;Del Toro, Guillermo;Kaling, Mindy;Wang, Jonathan (Film Producer)"
4,"Abby Choi, known for her glamorous Instagram posts, was reported missing on Wednesday. On Friday, the Hong Kong police found her remains, dismembered and incomplete.","The Hong Kong police have detained four people in connection with the killing of a model and influencer, in a case that has horrified the city.",2023-02-26T07:56:16+0000,article,World,News,"After Model’s Gruesome Killing, Suspicion Falls on Ex-Husband and His Family","Murders, Attempted Murders and Homicides;Hong Kong;Choi, Abby (1994-2023);Models (Professional)"
5,"Janet Yellen has made history as the first woman to lead the Treasury, and now a new batch of dollar bills will feature her signature. Here’s a close look at how the dollar gets made.","Janet Yellen has made history as the first woman to lead the Treasury, and now a new batch of dollar bills will feature her signature. Here’s a close look at how the dollar gets made.",2023-02-26T08:00:03+0000,multimedia,U.S.,Interactive Feature,How to Print Money,"US Dollar (Currency);Printing and Allied Trades;Federal Reserve System;Treasury Department;Yellen, Janet L"
6,Feeling stuck on today’s puzzle? We can help.,"SUNDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",2023-02-26T08:00:05+0000,article,Crosswords & Games,News,Spelling Bee Forum,Spelling Bee (Game)
7,"A special cab ride home, getting a watch fixed and more reader tales of New York City in this week’s Metropolitan Diary.",Dear Diary:,2023-02-26T08:00:06+0000,article,New York,News,‘I Could See All of My Neighbors Sitting Out on Their Porch Steps’,New York City
8,"Thirty years ago today, Tim Lang was injured in the first attack on the twin towers, an ominous but often overlooked prelude to 9/11. He does not forget.","Thirty years ago today, terrorists left a bomb weighing more than a half-ton in a rented van parked beneath the World Trade Center, a workplace for tens of thousands. Its smoldering fuse took about 12 minutes to close the gap between the everyday and the horrific.",2023-02-26T08:00:11+0000,article,New York,News,He Survived the Trade Center Bombing. ‘I Always Knew They’d Be Back.’,"World Trade Center (Manhattan, NY);Terrorism;September 11 (2001);Content Type: Personal Profile"
9,A number of new incentives encouraging people to have children highlight the challenges China faces in trying to boost its declining birthrate.,"In China, a country that limits most couples to three children, one province is making a bold pitch to try to get its citizens to procreate: have as many babies as you want, even if you are unmarried.",2023-02-26T08:00:15+0000,article,World,News,"Desperate for Babies, China Races to Undo an Era of Birth Limits. Is It Too Late?",China;Birth Rates;Population;Motivation and Incentive Programs;Single Mothers;In Vitro Fertilization;ARTIFICIAL INSEMINATION;Polls and Public Opinion;Politics and Government
